cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
95.83,Cielo cubierto,6,Noreste,44.82,20220528T00,20,267,17.3217,-96.5692,0,Oaxaca,San Miguel del Río,3.76,95.0,14.75,16.02,10.44,6.38,2022-05-28
95.82,Cielo cubierto,6,Noreste,67.15,20220529T00,20,267,17.3217,-96.5692,1,Oaxaca,San Miguel del Río,9.2,95.0,8.15,19.28,11.74,4.68,2022-05-29
95.83,Cielo cubierto,6,Este,76.82,20220530T00,20,267,17.3217,-96.5692,2,Oaxaca,San Miguel del Río,42.91,95.0,22.67,14.56,11.44,7.88,2022-05-30
91.65,Cielo cubierto,6,Este,107.5,20220531T00,20,267,17.3217,-96.5692,3,Oaxaca,San Miguel del Río,7.06,95.0,9.49,16.84,11.28,4.4,2022-05-31
95.03,Cielo cubierto,6,Noreste,59.07,20220528T00,20,268,16.5804,-96.7394,0,Oaxaca,San Miguel Ejutla,0.1,0.0,21.55,24.56,15.01,9.2,2022-05-28
95.83,Cielo cubierto,6,Este,83.06,20220529T00,20,268,16.5804,-96.7394,1,Oaxaca,San Miguel Ejutla,4.47,95.0,13.75,24.14,14.89,7.06,2022-05-29
95.83,Cielo cubierto,6,Sur,180.38,20220530T00,20,268,16.5804,-96.7394,2,Oaxaca,San Miguel Ejutla,40.79,95.0,47.41,20.72,15.15,9.43,2022-05-30
91.67,Cielo cubierto,6,Sureste,148.65,20220531T00,20,268,16.5804,-96.7394,3,Oaxaca,San Miguel Ejutla,12.33,95.0,8.43,22.62,15.38,3.35,2022-05-31
95.47,Cielo cubierto,6,Este,82.05,20220528T00,20,290,17.7829,-98.1426,0,Oaxaca,San Nicolás Hidalgo,0.17,80.0,27.92,31.57,14.79,9.25,2022-05-28
95.72,Cielo cubierto,6,Sureste,141.29,20220529T00,20,290,17.7829,-98.1426,1,Oaxaca,San Nicolás Hidalgo,0.2,0.0,17.95,30.96,16.03,6.33,2022-05-29
